"id","folderExists","fileCount","timepoints","missingChannelCount","missingChannels"
"11390_2012_01_05_17_19_01_1","True","40","4","0",""
"11390_2012_01_05_17_06_01_0","True","34","4","0",""
"11390_2012_01_05_17_19_01_0","True","35","4","0",""
"11390_2012_01_06_17_20_58_0","True","40","4","0",""
"11390_2012_01_04_07_22_01_0","True","40","4","0",""
"11390_2012_01_01_19_06_00_0","True","40","4","0",""
"11388_2012_01_01_19_06_00_0","True","40","4","0",""
"11388_2012_01_01_19_06_00_1","True","40","4","0",""
"11388_2012_01_01_19_06_00_2","True","40","4","0",""
"11390_2012_01_03_02_22_01_0","True","40","4","0",""
"11388_2012_01_01_19_06_00_3","True","40","4","0",""
"11388_2012_01_01_19_06_00_4","True","40","4","0",""
"11388_2012_01_01_19_06_00_5","True","40","4","0",""
"11390_2012_01_03_02_22_01_1","True","40","4","0",""
"11388_2012_01_07_02_27_01_0","True","40","4","0",""
"11388_2012_01_07_02_27_01_1","True","40","4","0",""
"11386_2012_01_03_11_06_01_0","True","40","4","0",""
"11386_2012_01_01_19_06_00_0","True","40","4","0",""
"11386_2012_01_01_19_06_00_1","True","40","4","0",""
"11389_2012_01_07_13_19_01_0","True","40","4","0",""
"11389_2012_01_07_13_19_01_1","True","40","4","0",""
"11389_2012_01_02_08_05_37_0","True","40","4","0",""
"11389_2012_01_08_13_21_03_0","True","40","4","0",""
"11389_2012_01_06_04_53_01_0","True","37","4","0",""
"11389_2012_01_09_17_26_00_0","True","40","4","0",""
"11389_2012_01_01_19_06_00_0","True","40","4","0",""
"11389_2012_01_05_06_08_01_0","True","40","4","0",""
"11389_2012_01_02_07_28_35_0","True","40","4","0",""
"11389_2012_01_02_20_53_01_0","True","40","4","0",""
"11389_2012_01_08_13_20_06_0","True","40","4","0",""
"11391_2012_01_09_17_20_59_0","True","40","4","0",""
"11391_2012_01_14_02_09_01_0","True","40","4","0",""
"11391_2012_01_12_06_05_01_0","True","35","4","0",""
"11391_2012_01_08_14_56_01_0","True","40","4","0",""
"11391_2012_01_08_14_56_01_1","True","40","4","0",""
"11391_2012_01_09_23_01_01_0","True","40","4","0",""
"11391_2012_01_09_23_01_01_1","True","40","4","0",""
"11391_2012_01_08_17_18_01_0","True","40","4","0",""
"11391_2012_01_08_17_18_01_1","True","40","4","0",""
"11391_2012_01_04_04_19_00_0","True","40","4","0",""
"11392_2012_01_06_00_09_01_0","True","40","4","0",""
"11392_2012_01_06_00_09_01_1","True","40","5","0",""
"11392_2012_01_08_00_09_00_0","True","40","4","0",""
"11392_2012_01_08_00_09_00_1","True","40","4","0",""
"11392_2012_01_08_00_09_00_2","True","40","4","0",""
"11392_2012_01_04_12_38_01_0","True","40","4","0",""
"11392_2012_01_04_12_38_01_1","True","40","4","0",""
"11392_2012_01_05_11_25_01_0","True","40","4","0",""
"11392_2012_01_05_11_25_01_1","True","40","4","0",""
"11393_2012_01_07_03_25_01_0","True","40","4","0",""
"11393_2012_01_07_03_25_01_1","True","40","4","0",""
"11393_2012_01_08_06_15_45_0","True","40","4","0",""
"11393_2012_01_08_10_42_01_0","True","40","4","0",""
"11393_2012_01_08_10_42_01_1","True","40","5","0",""
"11393_2012_01_10_04_46_01_0","True","40","4","0",""
"11393_2012_01_09_01_53_01_0","True","40","4","0",""
"11393_2012_01_09_01_53_01_1","True","40","4","0",""
"11393_2012_01_10_00_11_01_0","True","40","4","0",""
"11393_2012_01_11_05_08_59_0","True","40","4","0",""
"11393_2012_01_11_13_23_01_0","True","40","4","0",""
"11393_2012_01_08_03_26_34_0","True","40","4","0",""
"11394_2012_01_07_12_00_00_0","True","40","4","0",""
"11395_2012_01_10_01_47_01_0","True","40","4","0",""
"11395_2012_01_10_01_47_01_1","True","40","4","0",""
"11395_2012_01_10_11_12_01_0","True","40","4","0",""
"11395_2012_01_10_11_12_01_1","True","40","4","0",""
"11395_2012_01_09_12_00_00_0","True","40","4","0",""
"11395_2012_01_11_00_58_01_1","True","38","4","0",""
"11396_2012_01_13_12_00_00_0","True","40","4","0",""
"11396_2012_01_17_23_20_01_0","True","40","4","0",""
"11396_2012_01_15_03_35_00_0","True","40","4","0",""
"11396_2012_01_15_03_35_00_1","True","40","4","0",""
"11395_2012_01_13_00_58_00_1","True","40","4","0",""
"11396_2012_01_15_03_35_00_2","True","40","4","0",""
"11395_2012_01_13_00_58_00_0","True","40","4","0",""
"11395_2012_01_13_00_58_00_2","True","40","4","0",""
"11395_2012_01_13_00_58_00_3","True","40","4","0",""
"11395_2012_01_11_00_58_01_0","True","40","4","0",""
"11396_2012_01_15_03_35_00_3","True","40","4","0",""
"11396_2012_01_18_23_27_12_0","True","36","4","0",""
"11397_2012_01_14_12_00_00_0","True","40","4","0",""
"11397_2012_01_14_12_00_00_1","True","40","4","0",""
"11397_2012_01_14_12_00_00_2","True","40","4","0",""
"11398_2012_01_14_12_00_00_0","True","40","4","0",""
"11398_2012_01_14_12_00_00_1","True","40","4","0",""
"11398_2012_01_14_12_00_00_2","True","40","4","0",""
"11399_2012_01_19_12_30_00_0","True","40","4","0",""
"11399_2012_01_17_12_30_01_0","True","40","4","0",""
"11399_2012_01_17_12_30_01_1","True","40","5","0",""
"11399_2012_01_15_12_00_00_0","True","40","4","0",""
"11400_2012_01_15_12_00_00_0","True","40","4","0",""
"11401_2012_01_22_03_03_43_0","True","40","4","0",""
"11401_2012_01_17_05_06_59_0","True","40","4","0",""
"11401_2012_01_17_19_12_01_0","True","40","4","0",""
"11401_2012_01_17_19_12_01_1","True","30","5","0",""
"11401_2012_01_19_23_33_01_0","True","40","4","0",""
"11401_2012_01_19_23_33_01_1","True","40","4","0",""
"11401_2012_01_17_10_30_01_0","True","40","4","0",""
"11401_2012_01_19_15_01_01_0","True","40","4","0",""
"11401_2012_01_21_02_57_01_0","True","40","4","0",""
"11401_2012_01_21_02_57_01_1","True","40","4","0",""
"11401_2012_01_23_17_08_01_0","True","40","4","0",""
"11401_2012_01_23_17_08_01_1","True","40","4","0",""
"11401_2012_01_16_04_53_01_0","True","40","4","0",""
"11401_2012_01_16_04_53_01_1","True","40","5","0",""
"11401_2012_01_22_13_33_43_0","True","40","4","0",""
"11401_2012_01_15_12_00_00_0","True","40","4","0",""
"11401_2012_01_15_12_00_00_1","True","40","4","0",""
"11401_2012_01_22_20_57_31_0","True","40","4","0",""
"11401_2012_01_22_20_57_31_1","True","40","4","0",""
"11403_2012_01_19_01_21_00_0","True","40","4","0",""
"11403_2012_01_19_01_21_00_1","True","40","4","0",""
"11403_2012_01_17_01_21_01_0","True","40","4","0",""
"11405_2012_01_17_12_00_00_0","True","40","4","0",""
"11405_2012_01_17_12_00_00_1","True","40","4","0",""
"11405_2012_01_17_12_00_00_2","True","40","4","0",""
"11405_2012_01_17_12_00_00_3","True","40","4","0",""
"11405_2012_01_17_12_00_00_4","True","40","4","0",""
"11405_2012_01_17_12_00_00_5","True","40","4","0",""
"11405_2012_01_17_12_00_00_6","True","40","4","0",""
"11404_2012_01_17_12_00_00_0","True","40","4","0",""
"11406_2012_01_18_12_00_00_0","True","40","4","0",""
"11406_2012_01_18_12_00_00_1","True","40","4","0",""
"11407_2012_01_19_12_00_00_0","True","40","4","0",""
"11407_2012_01_19_12_00_00_1","True","40","4","0",""
"11407_2012_01_19_12_00_00_2","True","40","4","0",""
"11407_2012_01_19_12_00_00_3","True","40","4","0",""
"11407_2012_01_19_12_00_00_4","True","40","4","0",""
"11407_2012_01_19_12_00_00_5","True","39","4","0",""
"11407_2012_01_19_12_00_00_6","True","40","4","0",""
"11407_2012_01_19_12_00_00_7","True","38","4","0",""
"11407_2012_01_19_12_00_00_8","True","40","4","0",""
"11409_2012_01_22_12_00_00_0","True","40","4","0",""
"11408_2012_01_30_14_15_01_0","True","40","4","0",""
"11408_2012_02_01_04_46_09_0","True","40","4","0",""
"11408_2012_01_27_04_26_00_0","True","37","4","0",""
"11408_2012_01_30_06_24_01_0","True","40","4","0",""
"11408_2012_01_22_12_00_00_0","True","40","4","0",""
"11408_2012_01_22_12_00_00_1","True","40","4","0",""
"11408_2012_01_22_12_00_00_2","True","40","4","0",""
"11408_2012_01_22_12_00_00_3","True","40","4","0",""
"11408_2012_01_22_12_00_00_4","True","40","4","0",""
"11408_2012_02_01_09_07_01_0","True","40","4","0",""
"11408_2012_01_31_04_41_01_0","True","40","4","0",""
"11408_2012_01_31_04_41_01_1","True","40","4","0",""
"11410_2012_02_05_17_27_01_0","True","40","4","0",""
"11410_2012_02_05_20_00_01_0","True","40","4","0",""
"11410_2012_02_05_20_00_01_1","True","40","4","0",""
"11410_2012_02_04_12_47_01_0","True","40","4","0",""
"11410_2012_02_04_12_47_01_1","True","40","4","0",""
"11410_2012_02_02_04_47_01_0","True","40","4","0",""
"11410_2012_02_05_07_33_01_0","True","40","4","0",""
"11410_2012_02_06_22_19_01_0","True","40","4","0",""
"11410_2012_01_29_03_23_01_0","True","40","4","0",""
"11410_2012_01_27_15_34_01_0","True","40","4","0",""
"11410_2012_02_04_07_29_01_0","True","40","4","0",""
"11410_2012_01_29_04_40_01_1","True","40","4","0",""
"11410_2012_01_29_04_40_01_0","True","40","4","0",""
"11410_2012_02_08_22_19_00_0","True","40","4","0",""
"11410_2012_02_06_17_34_01_0","True","40","4","0",""
