id,ar,start,end,peak_flux,label_m1p
11390_2012_01_05_17_19_01_1,11390,2012-01-06 05:19:00.000000000,2012-01-06 17:19:00.000000000,1.6470588235294118e-06,0
11390_2012_01_06_17_20_58_0,11390,2012-01-06 05:20:58.000000000,2012-01-06 17:20:58.000000000,1.1647058823529413e-06,0
11390_2012_01_04_07_22_01_0,11390,2012-01-03 19:22:01.000000000,2012-01-04 07:22:01.000000000,2.2352941176470592e-06,0
11390_2012_01_01_19_06_00_0,11390,2012-01-01 07:06:00.000000000,2012-01-01 19:06:00.000000000,1e-09,0
11390_2012_01_03_02_22_01_0,11390,2012-01-02 14:22:01.000000000,2012-01-03 02:22:01.000000000,7.529411764705883e-07,0
11390_2012_01_03_02_22_01_1,11390,2012-01-03 14:22:00.000000000,2012-01-04 02:22:00.000000000,7.529411764705883e-07,0
11388_2012_01_01_19_06_00_0,11388,2012-01-01 07:06:00.000000000,2012-01-01 19:06:00.000000000,1e-09,0
11388_2012_01_01_19_06_00_1,11388,2012-01-01 22:31:24.787930907,2012-01-02 10:31:24.787930907,1e-09,0
11388_2012_01_01_19_06_00_2,11388,2012-01-03 03:50:31.635053094,2012-01-03 15:50:31.635053094,1e-09,0
11388_2012_01_01_19_06_00_3,11388,2012-01-04 00:12:13.184293358,2012-01-04 12:12:13.184293358,1e-09,0
11388_2012_01_01_19_06_00_4,11388,2012-01-04 15:51:03.572694323,2012-01-05 03:51:03.572694323,1e-09,0
11388_2012_01_01_19_06_00_5,11388,2012-01-05 14:27:00.999999998,2012-01-06 02:27:00.999999998,1e-09,0
11388_2012_01_07_02_27_01_0,11388,2012-01-06 14:27:01.000000000,2012-01-07 02:27:01.000000000,5.764705882352941e-06,0
11388_2012_01_07_02_27_01_1,11388,2012-01-07 14:27:00.000000000,2012-01-08 02:27:00.000000000,5.764705882352941e-06,0
11386_2012_01_03_11_06_01_0,11386,2012-01-02 23:06:01.000000000,2012-01-03 11:06:01.000000000,1.5294117647058826e-06,0
11386_2012_01_01_19_06_00_0,11386,2012-01-01 07:06:00.000000000,2012-01-01 19:06:00.000000000,1e-09,0
11386_2012_01_01_19_06_00_1,11386,2012-01-01 23:06:01.000000000,2012-01-02 11:06:01.000000000,1e-09,0
11389_2012_01_07_13_19_01_0,11389,2012-01-07 01:19:01.000000000,2012-01-07 13:19:01.000000000,2.11764705882353e-06,0
11389_2012_01_07_13_19_01_1,11389,2012-01-08 01:19:00.000000000,2012-01-08 13:19:00.000000000,2.11764705882353e-06,0
11389_2012_01_02_08_05_37_0,11389,2012-01-01 20:05:37.000000000,2012-01-02 08:05:37.000000000,7.882352941176471e-07,0
11389_2012_01_08_13_21_03_0,11389,2012-01-08 01:21:03.000000000,2012-01-08 13:21:03.000000000,1.6470588235294118e-06,0
11389_2012_01_09_17_26_00_0,11389,2012-01-09 05:26:00.000000000,2012-01-09 17:26:00.000000000,1e-09,0
11389_2012_01_01_19_06_00_0,11389,2012-01-01 07:06:00.000000000,2012-01-01 19:06:00.000000000,1.8823529411764705e-06,0
11389_2012_01_05_06_08_01_0,11389,2012-01-04 18:08:01.000000000,2012-01-05 06:08:01.000000000,1.6470588235294118e-06,0
11389_2012_01_02_07_28_35_0,11389,2012-01-01 19:28:35.000000000,2012-01-02 07:28:35.000000000,9.88235294117647e-07,0
11389_2012_01_02_20_53_01_0,11389,2012-01-02 08:53:01.000000000,2012-01-02 20:53:01.000000000,9.058823529411764e-07,0
11389_2012_01_08_13_20_06_0,11389,2012-01-08 01:20:06.000000000,2012-01-08 13:20:06.000000000,1.5294117647058826e-06,0
11391_2012_01_09_17_20_59_0,11391,2012-01-09 05:20:59.000000000,2012-01-09 17:20:59.000000000,8.352941176470589e-07,0
11391_2012_01_14_02_09_01_0,11391,2012-01-13 14:09:01.000000000,2012-01-14 02:09:01.000000000,2.705882352941177e-06,0
11391_2012_01_08_14_56_01_0,11391,2012-01-08 02:56:01.000000000,2012-01-08 14:56:01.000000000,1.6470588235294118e-06,0
11391_2012_01_08_14_56_01_1,11391,2012-01-09 02:56:00.000000000,2012-01-09 14:56:00.000000000,1.6470588235294118e-06,0
11391_2012_01_09_23_01_01_0,11391,2012-01-09 11:01:01.000000000,2012-01-09 23:01:01.000000000,2e-06,0
11391_2012_01_09_23_01_01_1,11391,2012-01-10 11:01:00.000000000,2012-01-10 23:01:00.000000000,2e-06,0
11391_2012_01_08_17_18_01_0,11391,2012-01-08 05:18:01.000000000,2012-01-08 17:18:01.000000000,1.5294117647058826e-06,0
11391_2012_01_08_17_18_01_1,11391,2012-01-09 05:18:00.000000000,2012-01-09 17:18:00.000000000,1.5294117647058826e-06,0
11391_2012_01_04_04_19_00_0,11391,2012-01-03 16:19:00.000000000,2012-01-04 04:19:00.000000000,1e-09,0
11392_2012_01_06_00_09_01_0,11392,2012-01-05 12:09:01.000000000,2012-01-06 00:09:01.000000000,3.058823529411765e-06,0
11392_2012_01_06_00_09_01_1,11392,2012-01-06 12:09:00.000000000,2012-01-07 00:09:00.000000000,3.058823529411765e-06,0
11392_2012_01_08_00_09_00_0,11392,2012-01-07 12:09:00.000000000,2012-01-08 00:09:00.000000000,1e-09,0
11392_2012_01_08_00_09_00_1,11392,2012-01-08 04:56:20.507504327,2012-01-08 16:56:20.507504327,1e-09,0
11392_2012_01_08_00_09_00_2,11392,2012-01-09 11:59:59.999999999,2012-01-09 23:59:59.999999999,1e-09,0
11392_2012_01_04_12_38_01_0,11392,2012-01-04 00:38:01.000000000,2012-01-04 12:38:01.000000000,2.4705882352941173e-06,0
11392_2012_01_04_12_38_01_1,11392,2012-01-05 00:38:00.000000000,2012-01-05 12:38:00.000000000,2.4705882352941173e-06,0
11392_2012_01_05_11_25_01_0,11392,2012-01-04 23:25:01.000000000,2012-01-05 11:25:01.000000000,2.588235294117648e-06,0
11392_2012_01_05_11_25_01_1,11392,2012-01-05 12:03:10.000000000,2012-01-06 00:03:10.000000000,2.588235294117648e-06,0
11393_2012_01_07_03_25_01_0,11393,2012-01-06 15:25:01.000000000,2012-01-07 03:25:01.000000000,3.4117647058823524e-06,0
11393_2012_01_07_03_25_01_1,11393,2012-01-07 15:25:00.000000000,2012-01-08 03:25:00.000000000,3.4117647058823524e-06,0
11393_2012_01_08_06_15_45_0,11393,2012-01-07 18:15:45.000000000,2012-01-08 06:15:45.000000000,1.0823529411764705e-06,0
11393_2012_01_08_10_42_01_0,11393,2012-01-07 22:42:01.000000000,2012-01-08 10:42:01.000000000,1.2941176470588237e-06,0
11393_2012_01_08_10_42_01_1,11393,2012-01-08 22:42:00.000000000,2012-01-09 10:42:00.000000000,1.2941176470588237e-06,0
11393_2012_01_10_04_46_01_0,11393,2012-01-09 16:46:01.000000000,2012-01-10 04:46:01.000000000,4.352941176470588e-06,0
11393_2012_01_09_01_53_01_0,11393,2012-01-08 13:53:01.000000000,2012-01-09 01:53:01.000000000,1.1764705882352942e-06,0
11393_2012_01_09_01_53_01_1,11393,2012-01-09 12:05:19.000000000,2012-01-10 00:05:19.000000000,1.1764705882352942e-06,0
11393_2012_01_10_00_11_01_0,11393,2012-01-09 12:11:01.000000000,2012-01-10 00:11:01.000000000,2.588235294117648e-06,0
11393_2012_01_11_05_08_59_0,11393,2012-01-10 17:08:59.000000000,2012-01-11 05:08:59.000000000,1.4117647058823531e-06,0
11393_2012_01_11_13_23_01_0,11393,2012-01-11 01:23:01.000000000,2012-01-11 13:23:01.000000000,3.882352941176471e-06,0
11393_2012_01_08_03_26_34_0,11393,2012-01-07 15:26:34.000000000,2012-01-08 03:26:34.000000000,2.2352941176470592e-06,0
